reserve,estimate_minimum,estimate_maximum,category_descriptions,subcategory_1,buyers_premium_pct,buyers_premium_vat_pct,vendors_commission_pct,vendors_commission_vat_pct,hammer_price,hammer_vat_pct,sold,sale_status,price_performance,sold_below_reserve,buyer_premium_revenue,buyer_premium_vat,vendor_commission_revenue,vendor_commission_vat,vendor_id,public_lot_id
450,450,500,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V060,L0119
140,160,220,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V011,L0120
2387,2300,2800,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V018,L0121
425,425,525,"Gemstones, minerals, fossils",,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V008,L0122
900,900,1100,Watch/Pocket watch/Clock,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0123
250,260,300,Suitcase /Handbags / Wallets,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V059,L0124
900,950,1000,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V017,L0125
1001,1000,1400,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V018,L0126
60,80,120,Jewellery,,20.0,20.0,0.0,20.0,60,0,True,Sold,Below Estimate,False,12.0,2.4,0.0,0.0,V011,L0127
3465,3500,4000,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V018,L0128
700,700,800,"Gemstones, minerals, fossils",,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V008,L0129
2200,2200,2500,Watch/Pocket watch/Clock,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0130
75,80,100,Suitcase /Handbags / Wallets,,20.0,20.0,0.0,20.0,75,0,True,Sold,Below Estimate,False,15.0,3.0,0.0,0.0,V059,L0131
500,550,650,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V017,L0132
986,1000,1200,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V018,L0133
400,450,500,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V011,L0134
1540,1600,1900,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V018,L0135
360,360,460,"Gemstones, minerals, fossils",,20.0,20.0,0.0,20.0,360,0,True,Sold,Within Estimate,False,72.0,14.4,0.0,0.0,V008,L0136
2849,2900,3200,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V018,L0137
450,450,550,Suitcase /Handbags / Wallets,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V059,L0138
550,550,650,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V017,L0139
12320,12500,14500,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V018,L0140
410,410,510,"Gemstones, minerals, fossils",,20.0,20.0,0.0,20.0,750,0,True,Sold,Above Estimate,False,150.0,30.0,0.0,0.0,V008,L0141
2541,2500,3000,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V018,L0142
10,15,20,Jewellery,,20.0,20.0,0.0,20.0,10,0,True,Sold,Below Estimate,False,2.0,0.4,0.0,0.0,V028,L0143
265,290,350,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V011,L0144
2000,2000,2400,Watch/Pocket watch/Clock,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0145
425,450,500,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V011,L0146
45,45,55,Writing Pens Stationery,,20.0,20.0,0.0,20.0,45,0,True,Sold,Within Estimate,False,9.0,1.8,0.0,0.0,V060,L0147
300,330,400,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V011,L0148
300,350,400,Watch/Pocket watch/Clock,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V012,L0149
10,15,20,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V028,L0150
15,20,40,Asian Oriental Chinese Japanese,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V028,L0151
300,300,360,Watch/Pocket watch/Clock,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0152
15,20,40,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V028,L0153
35,35,45,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V060,L0154
325,325,425,"Gemstones, minerals, fossils",,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V008,L0155
1194,1200,1600,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V018,L0156
450,480,550,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V011,L0157
700,700,850,Watch/Pocket watch/Clock,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0158
1400,1400,1500,"Gemstones, minerals, fossils",,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0159
10,15,20,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V028,L0160
40,40,60,Writing Pens Stationery,,20.0,20.0,0.0,20.0,40,0,True,Sold,Within Estimate,False,8.0,1.6,0.0,0.0,V060,L0161
650,650,750,"Gemstones, minerals, fossils",,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V008,L0162
308,400,500,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V018,L0163
200,230,280,Jewellery,,20.0,20.0,0.0,20.0,220,0,True,Sold,Below Estimate,False,44.0,8.8,0.0,0.0,V011,L0164
1500,1500,1700,Watch/Pocket watch/Clock,,20.0,20.0,0.0,20.0,1500,0,True,Sold,Within Estimate,False,300.0,60.0,0.0,0.0,V004,L0165
800,800,900,"Gemstones, minerals, fossils",,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0166
15,20,40,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V028,L0167
60,60,90,Coins Stamps Bank notes,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V060,L0168
335,350,400,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V011,L0169
2965,3000,3400,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V018,L0170
15,20,40,Jewellery,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V028,L0171
900,900,1100,Watch/Pocket watch/Clock,,20.0,20.0,0.0,20.0,0,0,False,Not Sold,Not Sold,False,0.0,0.0,0.0,0.0,V004,L0172
